Optimism Geth Workshop,Wave/Round,Term,Amount (Token),Amount (USD)
Lenster,GG16 Alpha OSS,Jan 2023,,"$16,666.67"
DefiLlama,GG16 Alpha OSS,Jan 2023,,"$16,666.67"
JediSwap,GG16 Alpha OSS,Jan 2023,,"$16,666.67"
Tally Ho!,GG16 Alpha OSS,Jan 2023,,"$16,666.67"
StarkDeFi,GG16 Alpha OSS,Jan 2023,,"$16,666.67"
Lenstube,GG16 Alpha OSS,Jan 2023,,"$16,666.67"
Revoke.cas,GG16 Alpha OSS,Jan 2023,,"$16,666.67"
Umbra,GG16 Alpha OSS,Jan 2023,,"$16,609.22"
Optinames | MintBots,GG16 Alpha OSS,Jan 2023,,"$12,932.12"
Proof of H,GG16 Alpha OSS,Jan 2023,,"$12,171.06"
Loanshark,GG16 Alpha OSS,Jan 2023,,"$11,953.58"
BrightID 🔆,GG16 Alpha OSS,Jan 2023,,"$9,822.70"
Soul Wallet,GG16 Alpha OSS,Jan 2023,,"$9,036.87"
IDriss - A more usable web3 for everyone ����,GG16 Alpha OSS,Jan 2023,,"$8,905.26"
eth.limo,GG16 Alpha OSS,Jan 2023,,"$8,863.78"
Chaineye,GG16 Alpha OSS,Jan 2023,,"$7,906.60"
POAPin,GG16 Alpha OSS,Jan 2023,,"$7,349.63"
MetaMail,GG16 Alpha OSS,Jan 2023,,"$7,330.27"
ECHO,GG16 Alpha OSS,Jan 2023,,"$4,527.29"
ZeroPool,GG16 Alpha OSS,Jan 2023,,"$4,324.04"
Inverter Network - Fund and build in web 3 with ease,GG16 Alpha OSS,Jan 2023,,"$4,112.60"
Lighthouse,GG16 Alpha OSS,Jan 2023,,"$3,346.40"
IDENA,GG16 Alpha OSS,Jan 2023,,"$3,227.78"
Fileverse - file sharing & collaboration between addresses,GG16 Alpha OSS,Jan 2023,,"$3,203.28"
Giveth,GG16 Alpha OSS,Jan 2023,,"$3,011.99"
ENS Spoofing Bot,GG16 Alpha OSS,Jan 2023,,"$2,754.34"
Krebit,GG16 Alpha OSS,Jan 2023,,"$2,840.50"
