Recipient / Grantee,Wave/Round,Term,Amount (ETH),Amount (USD)
Fund Alexey & Romain's Legal Defense,,Mar 2024,38.80,"$141,507.09"
MCON III,,Mar 2024,30.00,"$109,412.70"
Inverted City,,Mar 2024,1.00,"$3,647.09"
DAOcember & The DAO Playbook,,Dec 2023,1.30,"$2,966.47"
Grant for SCI - Istanbul Winners,,Dec 2023,,"$3,000.00"
Regens Unite,,Nov 2023,1.00,"$2,051.56"
Funding MCON3 Scouting Proposal,,Nov 2023,7.00,"$14,360.92"
How We Connect - 1 WETH to QF matching pool,,Nov 2023,1.00,"$2,051.56"
Global Governance Gathering 2 - :rainbow: Panel Curation and Design,,Sep 2023,3.60,"$6,015.31"
Global Governance Gathering 2 - :tickets: Curate 6 tickets,,Sep 2023,1.60,"$2,673.47"
SiloHaus ERC6551 NFT DAOs,,Sep 2023,5.00,"$8,354.60"
Chones,,Aug 2023,2.70,"$4,443.71"
team TokenBound Titans - ethWaterloo,,Jun 2023,2.70,"$5,221.26"
"Support DAO Palace 2023, Incubating the future of DAOs and stewarding Cultural Heritage Sites",,Jun 2023,2.80,"$5,414.64"
RaidGuild Apprentice Cohort Season 6 Sponsorship,,Jun 2023,2.00,"$3,867.60"
Funding - Chili Pepper Pool Party 🌶️🏖️🗺️,,May 2023,2.80,"$5,246.16"
Funding Proposal - POAMPboarding,,Apr 2023,2.40,"$4,485.31"
Funding Zuzalu - QF Matching,,Apr 2023,5.50,"$10,278.84"
ETHos Season 2 Funding Proposal,,Mar 2023,66.00,"$120,226.92"
Payment for M2 Design Work,,Mar 2023,,"$1,000.00"
DAOs @ Denver - ETH Denver side event,,Jan 2023,3.50,"$5,548.45"
Meta Event ETHDenver 2023,,Jan 2023,4.00,"$6,341.08"
Pluriverse Chili Pod,,Dec 2022,16.00,"$19,130.72"
Chili Pods (ETHos - Season 1),,Nov 2022,32.00,"$41,421.12"
MCON 2 Lingering Expenses,,Nov 2022,7.00,"$9,060.87"
Grant Proposal: Devcon Side Event Wgmi x Metacartel,,Oct 2022,,"$6,500.00"
Grant Proposal - Collab.Land Zodiac Bot Module for Discord Enabled Governance,,Oct 2022,,"$10,000.00"
MCON PHOTOS 1WETH to TBURD,,Oct 2022,1.00,"$1,572.89"
Refunding for MetaCartel V2 Cards,,Oct 2022,,"$1,400.00"
"[Grant] Nomis, open-source credit score",,Oct 2022,,"$10,000.00"
GLITCH sponsorship Grant,,Sep 2022,,"$10,000.00"
Grant - Community Health,,Sep 2022,,"$10,000.00"
Official MCON closing party sponsorship,,Sep 2022,,"$8,000.00"
shots fired 56,,Sep 2022,1.50,"$1,993.10"
HATs Protocol Grant,,Sep 2022,,"$10,000.00"
Sponsorship Proposal: MCON 2 Stream,,Aug 2022,6.00,"$9,330.72"
Chili pods pilot program,,Jul 2022,32.00,"$53,760.00"
Grant Proposal: Season #1 GM Bus 🚌 💨,,Jul 2022,,"$10,000.00"
Renew ENS,,Jul 2022,0.02,$38.64
