Optimism Geth Workshop,Wave/Round,Term,Amount (ETH),Amount (USD)
Grafana Analytics,Batch 1,,,"$89,282.25"
Discord Bots,Batch 1,,,"$69,581.53"
Stake.tax,Batch 1,,,"$56,869.24"
Defiant Tax Software,Batch 1,,,"$53,736.92"
Osmosis Docs Turkish Translation,Batch 1,,,"$28,374.51"
Map of Full Nodes,Batch 1,,,"$27,201.02"
Dexmos,Batch 2,,,"$21,335.40"
Hathor Nodes Dashboards,Batch 2,,,"$16,775.81"
Phase (aka AgriFi),Batch 2,,,"$16,496.39"
Token Terminal,Batch 2,,,"$15,269.76"
Exploring the Cosmos Podcast,Batch 2,,,"$14,178.33"
Airdrop Tracker,Batch 2,,,"$13,996.97"
Citadel.one Frontend,Batch 3,,,"$13,380.48"
All That Nodes,Batch 3,,,"$13,256.77"
Multifarm.fi Dashboard,Batch 3,,,"$13,047.72"
Consensus Fintech Group,Batch 3,,,"$13,027.82"
Ivan Lomakin Weekly Streams,Batch 3,,,"$12,416.66"
Optical Finance Portfolio Tracker,Batch 3,,,"$12,240.63"
Void Protocol,Batch 4,,,"$11,828.27"
Tenderduty V2,Batch 4,,,"$122,056.63"
Cosmos-Rust-Bot,Batch 4,,,"$71,408.41"
POSTHUMAN ∞ DVS,Batch 4,,,"$61,260.73"
Vector DAO,Batch 4,,,"$54,698.08"
Cron.cat,Batch 5,,,"$53,781.45"
Laika,Batch 5,,,"$51,123.40"
Kado,Batch 5,,,"$43,283.49"
REGEN network - minting for LP,Batch 5,,,"$40,557.65"
REstake.app,Batch 5,,,"$38,034.17"
Margined Protocol,Batch 6,,,"$36,946.57"
Yieldmos,Batch 6,,,"$34,160.96"
Leap Wallet,Batch 6,,,"$29,883.04"
Pine Street Labs,Batch 6,,,"$26,680.35"
Notional Multisig,Batch 6,,,"$20,671.02"
Transak,Batch 7,,,"$18,852.46"
Runtime Monitoring,Batch 7,,,"$18,146.87"
Zodiac Protocol,Batch 7,,,"$17,368.16"
Apollo Safe,Batch 7,,,"$16,747.72"
Skip Protocol (MEV module v1),Batch 8,,,"$16,433.83"
Hathor Nodes (Incentives),Batch 8,,,"$291,100.45"
Chaos Labs (Incentives),Batch 8,,,"$196,457.51"
Map of Zones (Historical Charts),Batch 8,,,"$196,132.79"
Battlebrains,Batch 8,,,"$195,549.96"
Strike Wallet,Batch 8,,,"$122,630.73"
Bankless Sponsorship,Batch 9,,,"$121,681.04"
Oak Security Bulk Audit,Batch 9,,,"$104,392.37"
PFC Validator Tool,Batch 9,,,"$74,332.48"
Defiant Testnet/Mainnet Parity,Batch 9,,,"$50,073.86"
Notional LUNC IBC Channel,Batch 9,,,"$155,868.41"
Map of Zones Opex Support,Batch 10,,,"$145,258.28"
Ping Dashboard Improvements,Batch 10,,,"$79,302.89"
Dfuse Trading SDK,Batch 10,,,"$66,352.91"
Cosmy Wasmy V2,Batch 10,,,"$59,032.79"
Fee Abstraction,Batch 11,,,"$51,095.39"
Celatone,Batch 11,,,"$51,014.59"
Outpost UI Nabla,Batch 11,,,"$45,452.60"
Tax Software 2023 Infra,Batch 11,,,"$41,613.17"
Serotonin PR,Batch 11,,,"$36,422.84"
PikachuEXE Translations,Batch 11,,,"$33,155.45"
Cosmos Bridge Aggregator,Batch 12,,,"$30,586.13"
Starship,Batch 12,,,"$30,191.85"
Lenses - Public Dashboards,Batch 12,,,"$30,204.78"
Interactive CW Testing Tutorials,Batch 12,,,"$26,303.95"
Osmosis Portuguese Translation,Batch 12,,,"$16,230.30"
Josef Levington Frontend	,Batch 13,,,"$15,571.01"
Confio Backend Develpment	,Batch 13,,,"$12,756.07"
Confio Backend Develpment (USDC)	,Batch 13,,,"$8,486.81"
Confio Backend Develpment Phase 1	,Batch 13,,,"$5,051.37"
Confio Backend Develpment Phase 1(USDC)	,Batch 13,,,"$4,650.62"
Cosmos Integration with Metamask	,Batch 14,,,"$3,933.15"
Bulk Audit Purchase Renewal	,Batch 14,,,"$3,658.44"
"IBC Observability, Security, and Research        ",Batch 14,,,"$2,129.78"
Threshold Decryption Research	,Batch 14,,,"$1,952.03"
Osmosis Client on Urbit	,Batch 14,,,"$1,518.96"
Osmocon 2023 Sponsorship	,Batch 14,,,"$1,399.39"
