Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
ETHDenver 2021,Wave1,,,"$20,000.00"
Gitcoin Grants CLR 9,Wave1,,,"$25,000.00"
Gitcoin Hackathon Rd 9,Wave1,,,"$50,000.00"
ETHGlobal NFT Hacks,Wave1,,,"$80,000.00"
Devfolio ETHIndia Hackathons,Wave1,,,"$20,000.00"
Bankless Podcast Sponsorship,Wave1,,,"$20,000.00"
Gitcoin Grants CLR 10,Wave1,,,"$20,000.00"
"Chainshot - ""Interactive Uniswap Course""",Wave1,,,"$240,000.00"
"Serv.ETH ""UNI Customer Support""",Wave1,,,"$65,000.00"
"Leland L - ""House Divided Sybil Integration""",Wave1,,,"$20,000.00"
"APY Vision - ""LP Royale""",Wave1,,,"$43,000.00"
"Raphael M - ""SimpleFi""",Wave1,,,"$40,000.00"
"Chris M & Co. - ""Bolstering UNI documentation""",Wave1,,,"$30,000.00"
"Protofire - ""UNI Gnosis Safe App""",Wave1,,,"$30,000.00"
"Doug B - ""Dope Ass CLI""",Wave1,,,"$20,000.00"
"Web3API - ""UNI.js SDK""",Wave1,,,"$10,000.00"
"Tally - ""Community Multisig FailSafe""",Wave1,,,"$15,000.00"
"Josh S - ""Easy UNI SDK""",Wave1,,,"$5,000.00"
"Penguin Party - ""Route Optimizer""",Wave1,,,"$100,000.00"
"Larry S - ""Treasury Management Legal Review""",Wave1,,,"$50,000.00"
"Shreyas H - ""Treasury Management Analysis 1""",Wave1,,,"$40,000.00"
"BEN - ""UNIversity Governance Committee""",Wave1,,,"$15,000.00"
suprememe competition #1,Wave2,,,"$9,000.00"
Week in Ethereum,Wave2,,,"$30,000.00"
Croco Finance,Wave2,,,"$130,000.00"
SimpleID,Wave2,,,"$30,000.00"
"""The Stable"" Grants Subcommittee - led by Boris S",Wave2,,,"$10,000.00"
UNIFest,Wave3,,,"$20,480.00"
Team Secret sponsorship,Wave3,,,"$5,000.00"
v3 python wrapper,Wave3,,,"$2,500.00"
Rari Capital - Nova contracts external audit,Wave3,,,"$6,000.00"
John Palmer & Anish Agnihotri - Fish.vote,Wave3,,,"$20,000.00"
Omar Bohsali - v3 LM incentive contracts,Wave3,,,"$50,400.00"
v3 Analytics Bounties (Flipside & Dune Analytics),Wave3,,,"$10,000.00"
Other Internet Community Study,Wave3,,,"$15,000.00"
Rabbit Hole - v3 onboarding,Wave3,,,"$17,000.00"
Timothy Luke - UGP Headless Branding,Wave3,,,"$20,000.00"
ETHGlobal - Hack Money,Wave4,,,"$40,000.00"
Cyber Academy - Russian DeFi Education,Wave4,,,"$10,000.00"
Wei Huang - UNI OS Typeface,Wave4,,,"$20,000.00"
UNI.vote & Bravo upgrade,Wave4,,,"$21,000.00"
pyexchange v3 client,Wave4,,,"$50,000.00"
EIP-3074 Audit,Wave4,,,"$10,000.00"
Sunny Radadiya - v3 metatx frontend,Wave4,,,"$3,000.00"
Defilab_xyz V3 simulation tool,Wave4,,,"$225,000.00"
Buidl Guidl - v3 bounties,Wave4,,,"$10,000.00"
DAO Research Coop,Wave4,,,"$20,000.00"
Optimism Geth Workshop,Wave5,,,"$40,000.00"
DeFi Alliance,Wave5,,,"$75,000.00"
Bankless Q3,Wave5,,,"$2,500.00"
Ethereum Execution Layer Support,Wave5,,,"$5,000.00"
Gitcoin GR11 - UNI Side Round,Wave5,,,"$40,000.00"
Messari Hub - Analytics Bounties,Wave5,,,"$17,700.00"
Station UNI Onboarding Experience,Wave5,,,"$25,000.00"
Robotics For All - Open Source DeFi course & sandbox for High Schoolers ,Wave5,,,"$12,500.00"
UGP Headless Branding Follow-up,Wave5,,,"$8,000.00"
BEN MetaDelegates Follow-up,Wave5,,,"$15,000.00"
Polywrap Follow-up - v3 wrapper,Wave5,,,"$20,000.00"
Simple SDK Follow-up - v3 support,Wave5,,,"$40,000.00"
Valve Finance Follow-up,Wave5,,,"$4,000.00"
Brink.Trade Range Orders,Wave5,,,"$5,000.00"
UNI gov twitterbot (The Stable),Wave5,,,"$5,000.00"
Governance Champion - blacksage,Wave5,,,"$15,000.00"
Governance Champion - Jeremy Guzman,Wave5,,,"$40,000.00"
Bankless Sponsorship,Wave6,,,"$20,000.00"
Team Secret FY2022-H1,Wave6,,,"$6,500.00"
CalHacks,Wave6,,,"$125,000.00"
Unicode hackathon,Wave6,,,"$125,000.00"
Financial Cryptography Conference 2022,Wave6,,,"$26,000.00"
Gitcoin UNI Side Round 11 & 12,Wave6,,,"$22,500.00"
Untitled Art Fair | Art Basel - Crypto Onboarding,Wave6,,,"$7,500.00"
UNIversity DAO Board,Wave6,,,"$20,000.00"
Rabbithole - L2 quests,Wave6,,,"$5,000.00"
Liquifi open source vesting contracts,Wave6,,,"$10,000.00"
Omni Analytics - UNISwappR Follow-on,Wave6,,,"$66,150.00"
v3 golang SDK - Daoleno,Wave6,,,"$20,000.00"
Gelato Finance G-UNI,Wave6,,,"$40,000.00"
Yewbow - Guillaume Lambert,Wave6,,,"$10,000.00"
Other Internet - Governance Experiments,Wave6,,,"$85,000.00"
The Stable Subcommittee,Wave6,,,"$7,000.00"
Road to Web3 - ETHGlobal Hackathon,Wave7,,,"$8,000.00"
Unigrants Community Analytics Program,Wave7,,,"$2,500.00"
v3 Staking Frontend,Wave7,,,"$1,000.00"
ranges.fi,Wave7,,,"$10,000.00"
v3 TWAP Dev Tools - Chaos Labs,Wave7,,,"$6,000.00"
caravan ,Wave7,,,"$50,000.00"
uni v3 calculator ,Wave7,,,"$35,000.00"
UNI voting system,Wave7,,,"$15,000.00"
ETHPrague,Wave8,,,"$5,000.00"
ETHAmsterdam,Wave8,,,"$40,000.00"
Week in Ethereum sponsorship,Wave8,,,"$36,000.00"
GraphDay Hackathon,Wave8,,,"$24,000.00"
Barbershop Speaks - DeFi Onboarding,Wave8,,,"$6,800.00"
DeFi Day @ Devconnect,Wave8,,,"$5,000.00"
Hack for Inclusion ‘22,Wave8,,,"$32,500.00"
Blocksplit 3,Wave8,,,"$10,000.00"
DEVSOC 2022,Wave8,,,"$120,000.00"
Serv.ETH,Wave8,,,"$60,000.00"
Gitcoin CLR Round 13,Wave8,,,"$30,000.00"
Gitcoin UNI Matching Round 13,Wave8,,,"$40,000.00"
DeFi Dev Course Creation - Pursuit ,Wave8,,,"$15,000.00"
The Stable ReUp,Wave8,,,"$20,000.00"
TechEducators,Wave8,,,"$2,500.00"
Metagame,Wave8,,,"$2,500.00"
Blockchain Club of Uganda,Wave8,,,"$1,600.00"
DeFi LatAm ,Wave8,,,"$1,200.00"
Community Headless Merch Design,Wave8,,,"$2,500.00"
UGP v0.1 Retrospective - Objectively,Wave8,,,"$2,500.00"
Chaos Labs - TWAP Hardhat plugin,Wave8,,,$300.00
Time weight quoter for v3,Wave8,,,$300.00
Mean Finance - static-call TWAP contract,Wave8,,,"$2,500.00"
eth-hentai python tool,Wave8,,,"$20,000.00"
Seedle Finance,Wave8,,,"$7,000.00"
Scopelift,Wave8,,,"$3,000.00"
GFX Labs - Cross-chain Governance Research,Wave8,,,"$3,000.00"
hedgebot hackternship ,Wave8,,,"$1,200.00"
Uniswap Diamond: Open Source API & SDK,UF 1,,,"$330,000.00"
Uniswap Diamond: Pro Interface,UF 1,,,"$300,000.00"
Decentralized Volatility Oracle,UF 1,,,"$50,000.00"
Uniswap.fish (previously Uniswap Calculator),UF 1,,,"$60,000.00"
Uniswap data extraction tool,UF 1,,,"$1,200.00"
Numoen,UF 1,,,"$50,000.00"
Uniswap v3 Development Course,UF 1,,,"$82,000.00"
DeFi LATAM,UF 1,,,"$35,000.00"
DeFi Africa,UF 1,,,"$120,000.00"
Phi,UF 1,,,"$2,000.00"
Ignition Hacks 2022,UF 1,,,"$250,000.00"
Holdim,UF 1,,,"$4,800.00"
Governance Decentralization Benchmarks and Tracker,UF 1,,,"$20,000"
Recognized Delegation Program Research and Development,UF 1,,,"$84,000"
Liquidity Pool Provisioning on Testnets,UF 2,,,"$340,000"
xToken Terminal UniV3 LP Position Rebalancer,UF 2,,,"$20,000"
Seedle,UF 2,,,"$30,000"
Enhancements to Arbitrum Subgraph,UF 2,,,"$200,000"
Lanturn: MEV estimator research and prototype,UF 2,,,"$4,600"
Pricing Orderflow Research,UF 2,,,"$15,000.00"
Pursuit,UF 2,,,"$3,000.00"
Miss O Cool Girls,UF 2,,,"$6,000.00"
ETHSan Francisco,UF 2,,,"$29,000.00"
ETHBogota,UF 2,,,"$140,000.00"
UCSB-ECON DeFi Seminar,UF 2,,,"$20,000.00"
"Arbitrum Hackathon (Devcon, Colombia)",UF 2,,,"$73,000.00"
Uniswap Vibes,UF 2,,,"$25,000.00"
Uniswap Monthly Financials,UF 2,,,"$38,360.00"
Square-Root-ETH (Sqreeth) Blog Post,UF 2,,,"$5,000.00"
Uniswap Agora,UF 2,,,"$20,000.00"
Alastor’s Independent Report on the Uniswap Fee Switch,UF 2,,,"$100,000.00"
Potential Options for the Uniswap Fee Switch,UF 2,,,"$24,000.00"
DAO Governance Reimagined: Crowd Coordination and Beyond,UF 2,,,"$45,000.00"
Messari LP Strategy Configurator (RFP),UF 3,,,"$9,000.00"
v3 SubGraph Developer Docs,UF 3,,,"$55,000.00"
Compounder.fi,UF 3,,,"$45,000.00"
Demeter Backtesting Tool,UF 3,,,"$18,000.00"
LP Strategy Configurator (RFP),UF 3,,,"$17,434.80"
Uniswap v3 SDK Rewrite,UF 3,,,"$125,000.00"
Uniswap Incentive Program Analysis,UF 3,,,"$125,000.00"
Uniswap v3 for DAOs’ Liquidity Needs – Comprehensive Research (RFP),UF 3,,,"$120,000.00"
TWAP Oracle Research (RFP),UF 3,,,"$57,750.00"
Checkpoint-free TWAP Oracles (RFP),UF 3,,,"$200,000.00"
Uniswap Monthly Financials Part 2,UF 3,,,"$27,000.00"
Institutional LP Research (RFP),UF 3,,,"$34,146.00"
Research on Cross-Chain MEV Market Structure Dynamics (RFP),UF 3,,,"$35,000.00"
CryptoStats – Cryptofees.info,UF 3,,,"$65,000.00"
University Outreach and Education,UF 3,,,"$52,000.00"
Content on Advanced LP Strategies for Uniswap v3 (RFP),UF 3,,,"$60,000.00"
FWB Event Partnership and Production,UF 3,,,"$60,000.00"
LP University: Beginner to Intermediate Course to Uniswap v3 (RFP),UF 3,,,"$60,000.00"
Content on Advanced LP Strategies for Uniswap v3 (RFP),UF 3,,,"$300,000.00"
Uniswap Cross-chain Bridge Assessment Process,UF 3,,,"$84,660.00"
Uniswap DAOlitical Party Research,UF 3,,,"$75,000.00"
