Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
DeFi Library,1,,,"$20,000.00"
Nous,1,,,"$25,000.00"
Xenophon Labs,1,,,"$50,000.00"
Akhil Kathuria,1,,,"$80,000.00"
Josh Nizzy,1,,,"$20,000.00"
Starkwhale,1,,,"$20,000.00"
Vojtch.eth,1,,,"$20,000.00"
Chaos Labs,1,,,"$240,000.00"
Paperclip Labs,2,,,"$65,000.00"
Bayswater Cap,2,,,"$20,000.00"
Ar00,2,,,"$43,000.00"
Svyatoslav Bitiutskii,2,,,"$40,000.00"
Bayswater Cap,2,,,"$30,000.00"
Xenophon Labs,2,,,"$30,000.00"
Bayswater Cap,2,,,"$20,000.00"
Tomohiro Tagami,2,,,"$10,000.00"
Joanna Pope,3,,,"$15,000.00"
Alexios Valonasis,3,,,"$5,000.00"
Jason Choi,3,,,"$100,000.00"
Shipooor,3,,,"$50,000.00"
Espacio Cripto,3,,,"$40,000.00"
Davincifi,3,,,"$15,000.00"
Mary Val,3,,,"$9,000.00"
Ali Mhossaini,4,,,"$30,000.00"
Messari,4,,,"$130,000.00"
Crypto Ibuki,4,,,"$30,000.00"
Shipooor,4,,,"$10,000.00"
OxWinger,4,,,"$20,480.00"
Kamala Immaculate,4,,,"$5,000.00"
C3 Group,4,,,"$2,500.00"
Matthew Han,4,,,"$6,000.00"
Invsto,5,,,"$20,000.00"
The Defiant,5,,,"$50,400.00"
Soumyaranjan Ram,5,,,"$10,000.00"
Abel Colmenares,5,,,"$15,000.00"
Xenophon Labs,5,,,"$17,000.00"
"Yusaka, Vol-san, KONISHI",5,,,"$20,000.00"
dYdX Foundation,6,,,"$40,000.00"
Alexios Valonasis,6,,,"$10,000.00"
CryptoHondos,6,,,"$20,000.00"
Rabbithole,6,,,"$21,000.00"
Gitcoin,6,,,"$50,000.00"
CryptoIbuki,7,,,"$10,000.00"
HackforInclusion,7,,,"$3,000.00"
ETHGlobal,7,,,"$225,000.00"
Ishita Gupta,7,,,"$10,000.00"
mirrash.eth,8,,,"$20,000.00"
deg.eth,8,,,"$40,000.00"
Llama,8,,,"$75,000.00"
mirrash.eth,8,,,"$2,500.00"
Elias Faltin,9,,,"$5,000.00"
Davincifi,9,,,"$40,000.00"
Nethermind,9,,,"$17,700.00"
DAOQuest,9,,,"$25,000.00"
Kikal,9,,,"$12,500.00"
Espacio Cripto,10,,,"$8,000.00"
Tralala,10,,,"$15,000.00"
CryptoIbuki,10,,,"$20,000.00"
Berkeley Blockchain Club,10,,,"$40,000.00"
Margaux Paradis,11,,,"$4,000.00"
Parad0xPrince,11,,,"$5,000.00"
Jwat,11,,,"$5,000.00"
Cosmoverse,12,,,"$15,000.00"
Momo Labs Ltd,12,,,"$40,000.00"
Mechanism Labs,12,,,"$20,000.00"
Hummingbot Foundation,12,,,"$6,500.00"
"Toyoji, Ltd",12,,,"$125,000.00"
Xenophon Labs,12,,,"$125,000.00"
Yata,13,,,"$26,000.00"
James Sermbezis,13,,,"$22,500.00"
MaryVal,13,,,"$7,500.00"
Momo Labs Ltd,14,,,"$20,000.00"
Metagals,14,,,"$5,000.00"
Alucard,14,,,"$10,000.00"
Paperclip Labs,14,,,"$66,150.00"
"0xCLR, 0xCChan",14,,,"$20,000.00"
Anna Kajda,15,,,"$40,000.00"
GravityX,15,,,"$10,000.00"
Xenophon Labs,15,,,"$85,000.00"
Karma,16,,,"$7,000.00"
Comdex,16,,,"$8,000.00"
Metin Mert Yeşilyurt,16,,,"$2,500.00"
CryptoCapitalist,16,,,"$1,000.00"
Layer3,16,,,"$10,000.00"
Micah & Gabbie,17,,,"$6,000.00"
Kagan,17,,,"$50,000.00"
Coinacademy,18,,,"$35,000.00"
Blockworks Research,18,,,"$15,000.00"
Anna Kajda,19,,,"$5,000.00"
Skip Protocol,19,,,"$40,000.00"
Chorus One,19,,,"$36,000.00"
James Sermbezis,19,,,"$24,000.00"
Nous,19,,,"$6,800.00"
Momo Labs Ltd,19,,,"$5,000.00"
Considered Finance,20,,,"$32,500.00"
LionDAO,21,,,"$10,000.00"
Strangelove Ventures,21,,,"$120,000.00"
"Skip Protocol, Bez",22,,,"$60,000.00"
Bez,22,,,"$30,000.00"
Chaos Labs,23,,,"$40,000.00"
Flipeside Crypto,23,,,"$15,000.00"
0xCChan,23,,,"$20,000.00"
Decentralized Future,24,,,"$2,500.00"
EpicWeb3,24,,,"$2,500.00"
Bao Ngoc,24,,,"$1,600.00"
0xCLR,24,,,"$1,200.00"
Mistral,25,,,"$2,500.00"
Chainapsis,25,,,"$2,500.00"
AndyGG,25,,,$300.00
AX07,25,,,$300.00
TN90803803,25,,,"$2,500.00"
DSRV Labs,25,,,"$20,000.00"
Kagan,25,,,"$7,000.00"
Espacio Cripto,25,,,"$3,000.00"
Metanomics,25,,,"$3,000.00"
0xCLR,26,,,"$1,200.00"
Imperator,26,,,"$330,000.00"
Chaos Labs,27,,,"$300,000.00"
Xenophon Labs,27,,,"$50,000.00"
Skip Protocol,27,,,"$60,000.00"
0xCLR,27,,,"$1,200.00"
RockawayX Labs,28,,,"$50,000.00"
Numia,28,,,"$82,000.00"
Strangelove Ventures,28,,,"$35,000.00"
Skip Protocol,28,,,"$120,000.00"
Four Pillars,28,,,"$2,000.00"
Chaos Labs,28,,,"$250,000.00"
0xCLR,28,,,"$4,800.00"
Chainapsis,29,,,"$20,000"
Various,30,,,"$84,000"
Cosmostation,30,,,"$340,000"
Pine Street Labs,30,,,"$20,000"
Fast Forward,30,,,"$30,000"
Coinbase,30,,,"$200,000"
Silk Nodes,30,,,"$4,600"
Raven DAO,31,,,"$15,000.00"
0xIbuki,31,,,"$3,000.00"
PANews,31,,,"$6,000.00"
StakingRewards,31,,,"$29,000.00"
CoinTrade,32,,,"$140,000.00"
Kiln,32,,,"$20,000.00"
Notifi,32,,,"$73,000.00"
Hummingbot Foundation,33,,,"$25,000.00"
BTC-Echo,33,,,"$38,360.00"
ETHOxford,34,,,"$5,000.00"
CCXT,34,,,"$20,000.00"
Kucoin,34,,,"$100,000.00"
ODaily,34,,,"$24,000.00"
WuBlockchain,34,,,"$45,000.00"
Jihoon Yi,35,,,"$9,000.00"
Range,35,,,"$55,000.00"
BeInCrypto,35,,,"$45,000.00"
Antero Eloranta and Juuso,35,,,"$18,000.00"
Crypto-Insiders,35,,,"$17,434.80"
Velar Technologies,35,,,"$125,000.00"
