Recipient / Grantee,Wave/Round,Term,Amount (ETH),Amount (USD)
rotki,Public Goods Small Grants 13,Jun 2024,3.00,"$10,313.52"
Impersonator,Public Goods Small Grants 13,Jun 2024,2.00,"$6,875.68"
ETH Daily - Ethereum News,Public Goods Small Grants 13,Jun 2024,1.00,"$3,437.84"
EAS Attestation Explorer,Public Goods Small Grants 13,Jun 2024,0.25,$859.46
Pairwise,Public Goods Small Grants 13,Jun 2024,0.25,$859.46
ABI Ninja,Public Goods Small Grants 13,Jun 2024,0.25,$859.46
Governance Day,Public Goods Small Grants 13,Jun 2024,0.25,$859.46
Modular Crypto | Educational Project,Public Goods Small Grants 13,Jun 2024,0.25,$859.46
x23.ai,Public Goods Small Grants 13,Jun 2024,0.25,$859.46
Trusted Seed,Public Goods Small Grants 13,Jun 2024,0.25,$859.46
