Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
clr.fund,Round 0,Jan 2023,,$165.00
Turbo-geth,Round 0,Jan 2023,,$151.00
Giveth,Round 0,Jan 2023,,$111.00
WalletConnect,Round 0,Jan 2023,,$141.00
BrightID 🔆,Round 0,Jan 2023,,$128.00
Rotki,Round 0,Jan 2023,,$94.00
TrueBlocks,Round 0,Jan 2023,,$79.00
Vyper.fun,Round 0,Jan 2023,,$51.00
BanklessFR,Round 0,Jan 2023,,$45.00
RadicalxChange,Round 0,Jan 2023,,$45.00
Minerva Wallet,Round 0,Jan 2023,,$0.00
BrightID 🔆,Round 1,Jan 2023,,$238.00
clr.fund,Round 1,Jan 2023,,$165.00
WalletConnect,Round 1,Jan 2023,,$133.00
Minerva Wallet,Round 1,Jan 2023,,$113.00
Turbo-geth,Round 1,Jan 2023,,$71.00
Giveth,Round 1,Jan 2023,,$53.00
Vocdoni,Round 1,Jan 2023,,$52.00
RadicalxChange,Round 1,Jan 2023,,$48.00
TrueBlocks,Round 1,Jan 2023,,$39.00
Rotki,Round 1,Jan 2023,,$33.00
Ethereum Cat Holders,Round 1,Jan 2023,,$26.00
BanklessFR,Round 1,Jan 2023,,$18.00
Vyper.fun,Round 1,Jan 2023,,$12.00
Reward Court,Round 1,Jan 2023,,$0.00
The Daily Gwei FR,Round 1,Jan 2023,,$0.00
BrightID,Round 2,Jan 2023,,$164.00
WalletConnect,Round 2,Jan 2023,,$98.00
Turbo-geth,Round 2,Jan 2023,,$70.00
Hardhat,Round 2,Jan 2023,,$66.00
BanklessFR,Round 2,Jan 2023,,$53.00
RadicalxChange Foundation,Round 2,Jan 2023,,$53.00
Whaler DAO,Round 2,Jan 2023,,$51.00
OpenEthereum,Round 2,Jan 2023,,$49.00
Vocdoni,Round 2,Jan 2023,,$46.00
The Daily Gwei FR,Round 2,Jan 2023,,$44.00
Rotki,Round 2,Jan 2023,,$42.00
TrueBlocks,Round 2,Jan 2023,,$40.00
Upala Digital Identity,Round 2,Jan 2023,,$36.00
Ethereum Cat Holders,Round 2,Jan 2023,,$22.00
clr.fund,Round 3,Jan 2023,,$302.00
BrightID,Round 3,Jan 2023,,$278.00
Giveth,Round 3,Jan 2023,,$148.00
Hardhat,Round 3,Jan 2023,,$151.00
BanklessFR,Round 3,Jan 2023,,$108.00
WalletConnect,Round 3,Jan 2023,,$120.00
Whaler DAO,Round 3,Jan 2023,,$106.00
RadicalxChange Foundation,Round 3,Jan 2023,,$102.00
Upala Digital Identity,Round 3,Jan 2023,,$99.00
Turbo-geth,Round 3,Jan 2023,,$92.00
TrueBlocks,Round 3,Jan 2023,,$73.00
OpenEthereum,Round 3,Jan 2023,,$73.00
Ethereum Cat Holders,Round 3,Jan 2023,,$66.00
The Daily Gwei FR,Round 3,Jan 2023,,$59.00
Rotki,Round 3,Jan 2023,,$56.00
Rekt,Round 3,Jan 2023,,$53.00
Vocdoni,Round 3,Jan 2023,,$42.00
Geo Web,Round 3,Jan 2023,,$28.00
Vyper.fun,Round 3,Jan 2023,,$14.00
Reward Courts,Round 3,Jan 2023,,$14.00
Aragon Voting2 app,Round 3,Jan 2023,,$14.00
ETHDenver,Round 3,Jan 2023,,$14.00
Science of the Future(the 100 years forward plan),Round 3,Jan 2023,,$10.00
Minerva Wallet,Round 3,Jan 2023,,$7.00
Matching Funds Multisig,Round 3,Jan 2023,,$0.00
clr.fund,Round 5,Jan 2023,,$169.00
Rotki,Round 5,Jan 2023,,$134.00
Hardhat,Round 5,Jan 2023,,$123.00
TrueBlocks,Round 5,Jan 2023,,$125.00
Turbo-Geth,Round 5,Jan 2023,,$122.00
ETHDenver,Round 5,Jan 2023,,$121.00
Ethereum in french : BanklessFR TheDailyGweiFR MetaversalFR,Round 5,Jan 2023,,$110.00
Geo Web,Round 5,Jan 2023,,$115.00
BrightID,Round 5,Jan 2023,,$44.00
Proof of Humanity,Round 5,Jan 2023,,$59.00
Shir Ya Khat - Persian Blockchain Podcast,Round 5,Jan 2023,,$36.00
clr.fund,Round 7,Jan 2023,,"$1,122.00"
BrightID,Round 7,Jan 2023,,"$1,022.00"
Rekt,Round 7,Jan 2023,,$650.00
ETHDenver,Round 7,Jan 2023,,$620.00
WalletConnect,Round 7,Jan 2023,,$621.00
WhalerDAO,Round 7,Jan 2023,,$634.00
RadicalxChange,Round 7,Jan 2023,,$486.00
Rotki,Round 7,Jan 2023,,$550.00
OpenEthereum,Round 7,Jan 2023,,$545.00
Minerva Wallet,Round 7,Jan 2023,,$559.00
Giveth,Round 7,Jan 2023,,$527.00
Turbo-Geth,Round 7,Jan 2023,,$450.00
Proof of Humanity,Round 7,Jan 2023,,$542.00
Trueblocks,Round 7,Jan 2023,,$430.00
Upala - Digital Identity,Round 7,Jan 2023,,$414.00
Geo Web,Round 7,Jan 2023,,$392.00
Hardhat,Round 7,Jan 2023,,$368.00
Vyper.fun,Round 7,Jan 2023,,$393.00
Ethereum in french : BanklessFR TheDailyGweiFR MetaversalFR,Round 7,Jan 2023,,$323.00
Vocdoni,Round 7,Jan 2023,,$345.00
Ethereum Cats Holders,Round 7,Jan 2023,,$338.00
SNAFU Collective,Round 7,Jan 2023,,$187.00
DAO Deep Dive | Research & Education,Round 7,Jan 2023,,$181.00
Shir Ya Khat - Persian Blockchain Podcast,Round 7,Jan 2023,,$163.00
Prettier Solidity,Round 7,Jan 2023,,$66.00
clr.fund,Round 9,Jan 2023,,"$23,276.00"
Defy Foundation,Round 9,Jan 2023,,"$6,507.00"
Unitap,Round 9,Jan 2023,,"$6,717.00"
Protocol Guild,Round 9,Jan 2023,,"$4,943.00"
EthStaker,Round 9,Jan 2023,,"$4,289.00"
BrightID,Round 9,Jan 2023,,"$4,127.00"
Ethereum On ARM,Round 9,Jan 2023,,"$3,168.00"
ETH Kipu (ETH Latam),Round 9,Jan 2023,,"$2,442.00"
Solow,Round 9,Jan 2023,,"$2,105.00"
$Earth - Solarpunk Dao,Round 9,Jan 2023,,"$1,840.00"
Proof of Integrity,Round 9,Jan 2023,,"$2,054.00"
Dappnode,Round 9,Jan 2023,,"$2,107.00"
Empowering Ethereum Tegucigalpa Community,Round 9,Jan 2023,,"$1,692.00"
Fork DAO,Round 9,Jan 2023,,"$1,443.00"
rotki,Round 9,Jan 2023,,"$1,249.00"
Ethereum Lima,Round 9,Jan 2023,,"$1,251.00"
L2 en Español,Round 9,Jan 2023,,"$1,125.00"
Supercities,Round 9,Jan 2023,,$733.00
Ethereum San Pedro Sula,Round 9,Apr 2023,,$751.00
web3beach,Round 9,Apr 2023,,$742.00
Asilo Digital,Round 9,Apr 2023,,$645.00
DeFi Argentina,Round 9,Apr 2023,,$584.00
ethers.js,Round 9,Apr 2023,,$572.00
Otterscan,Round 9,Apr 2023,,$454.00
Ethereum Guatemala,Round 9,Apr 2023,,$433.00
Ether Alpha,Round 9,Apr 2023,,$406.00
HER LATAM,Round 9,Apr 2023,,$371.00
Minerva Wallet,Round 9,Apr 2023,,$320.00
DeFinomics Labs,Round 9,Apr 2023,,$295.00
Stereum,Round 9,Apr 2023,,$279.00
Cryptoversidad,Round 9,Apr 2023,,$280.00
Nacion Bankless,Round 9,Apr 2023,,$270.00
Ethereum Colombia,Round 9,Apr 2023,,$248.00
Blockscout,Round 9,Apr 2023,,$230.00
TrueBlocks,Round 9,Apr 2023,,$210.00
Rhino Review - Ethereum Staking Journal,Round 9,Apr 2023,,$191.00
FundPG,Round 9,Apr 2023,,$191.00
Ethereum Dominicana,Round 9,Apr 2023,,$124.00
Aestus Relay,Round 9,Apr 2023,,$171.00
Ethereum Mexico,Round 9,Apr 2023,,$170.00
Bankless Academy,Round 9,Apr 2023,,$163.00
ReFi Medellin,Round 9,Apr 2023,,$155.00
Smoothy Protocol,Round 9,Apr 2023,,$156.00
signless,Round 9,Apr 2023,,$146.00
Ethereum Paraguay,Round 9,Apr 2023,,$133.00
Kali,Round 9,Apr 2023,,$134.00
Ethereum Bolivia,Round 9,Apr 2023,,$140.00
CriptoCuriosas,Round 9,Apr 2023,,$133.00
Proof of Renewable Electricity Production (PREPchain),Round 9,Apr 2023,,$45.00
DeSci LATAM,Round 9,Apr 2023,,$123.00
Etheereum Venezuela Community Projects,Round 9,Apr 2023,,$103.00
Bankless Afrika,Round 9,Apr 2023,,$113.00
"ReFi Tulum: A Regenative Tourism Movement to Clean, Restore, and Transform",Round 9,Apr 2023,,$81.00
Web3 Afrika,Round 9,Apr 2023,,$80.00
Impersonator,Round 9,Apr 2023,,$80.00
Somer East Ethereum Staking Guides (Ubuntu),Round 9,Apr 2023,,$80.00
The Red Guild,Round 9,Apr 2023,,$63.00
Mujeres en Crypto,Round 9,Apr 2023,,$55.00
Cryptolaburos,Round 9,Apr 2023,,$56.00
7Energy - Energy Community without Banks,Round 9,Apr 2023,,$50.00
useWeb3,Round 9,Apr 2023,,$46.00
Protobox.xyz,Round 9,Apr 2023,,$45.00
International Media Nodes (IMN),Round 9,Apr 2023,,$33.00
Geo Web,Round 9,Apr 2023,,$21.00
Wild Friends (with Senda Verde Bolivia),Round 9,Apr 2023,,$24.00
LexDAO interactive AI chatbot,Round 9,Apr 2023,,$20.00
NFT Wallet Tracker,Round 9,Apr 2023,,$22.00
Citizen Wallet,Round 9,Apr 2023,,$19.00
ENSRedirect,Round 9,Apr 2023,,$14.00
WhatABI,Round 9,Apr 2023,,$10.00
Atlantis,Round 9,Apr 2023,,$10.00
CryptoConexion Developer Hub,Round 9,Apr 2023,,$5.00
NFT Finance Diggest,Round 9,Apr 2023,,$4.00
Prettier Solidity,Round 9,Apr 2023,,$3.00
La Dream Machine,Round 9,Apr 2023,,$0.00
JobStash,Round 9,Apr 2023,,$0.00
Blockathon DAO,Round 9,Apr 2023,,$0.00
ETH PACIFICO,Round 9,Apr 2023,,$0.00
Candide Labs,Round 9,Apr 2023,,$0.00
Women Biz,Round 9,Apr 2023,,$0.00
