Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
ReFi Spring,GG16 Alpha Climate,Jan 2023,"62,648.76","$33,333.33"
ReFiDAO X Commons Stack: ReFi Commons Prize,GG16 Alpha Climate,Jan 2023,"61,332.92","$33,333.33"
Astral Protocol,GG16 Alpha Climate,Jan 2023,"60,038.39","$25,923.18"
Atlantis,GG16 Alpha Climate,Jan 2023,"58,260.33","$15,332.90"
Solarpunk Nomads: building the first two Public Goods adventure vehicles,GG16 Alpha Climate,Jan 2023,"58,180.59","$13,262.91"
WaterDAO,GG16 Alpha Climate,Jan 2023,"58,066.79","$12,498.40"
BETTER,GG16 Alpha Climate,Jan 2023,"57,564.71","$11,089.00"
The Solar Foundation,GG16 Alpha Climate,Jan 2023,"56,339.40","$10,809.79"
Bundle: Agriculture,GG16 Alpha Climate,Jan 2023,"55,061.82","$10,516.01"
LOA Labs : ReFi by South,GG16 Alpha Climate,Jan 2023,"54,551.25","$9,901.52"
Treejer Protocol,GG16 Alpha Climate,Jan 2023,"52,240.79","$8,581.38"
Bloom Network,GG16 Alpha Climate,Jan 2023,"52,154.24","$8,030.02"
Shamba Ecological Oracle and DMRV Network,GG16 Alpha Climate,Jan 2023,"51,001.26","$7,857.95"
$Earth - Solarpunk Dao,GG16 Alpha Climate,Jan 2023,"49,979.68","$7,186.79"
"Bundle #3: Verification Infrastructure (Impact Certs, Measurement, Reporting & Verification (MRV) and Oracles)",GG16 Alpha Climate,Jan 2023,"48,486.28","$7,118.54"
Bundle: Oceans & Forests,GG16 Alpha Climate,Jan 2023,"48,081.33","$6,359.57"
Bundle: Climate Research Alpha Round,GG16 Alpha Climate,Jan 2023,"47,826.28","$6,189.62"
Regens Unite: building public goods and a community to support all regens from web3 and beyond,GG16 Alpha Climate,Jan 2023,"45,993.28","$5,927.28"
Kokonut Network,GG16 Alpha Climate,Jan 2023,"45,349.22","$5,850.18"
Hibiscus DAO,GG16 Alpha Climate,Jan 2023,"45,018.75","$5,595.82"
Act Now Climate Change Bundle,GG16 Alpha Climate,Jan 2023,"44,938.67","$5,514.99"
Bundle: Carbon Markets,GG16 Alpha Climate,Jan 2023,"44,342.30","$4,874.18"
Carbon DAO,GG16 Alpha Climate,Jan 2023,"43,833.72","$4,847.88"
Barichara Regeneration Fund ��� Prototyping a Bioregional Regenerative Economy,GG16 Alpha Climate,Jan 2023,"40,614.00","$4,476.02"
AgroforestDAO,GG16 Alpha Climate,Jan 2023,"40,079.68","$4,321.45"
Endangered Tokens: Endangered Trees as ReFi Biodiversity Assets,GG16 Alpha Climate,Jan 2023,"40,012.19","$4,301.96"
Bundle: Emerging Economies and Indigenous Communities,GG16 Alpha Climate,Jan 2023,"39,663.82","$4,159.14"
.basin - perpetual place-based climate & nature finance,GG16 Alpha Climate,Jan 2023,"38,926.43","$3,972.52"
Saving forests in Colombia with KOKO DAO,GG16 Alpha Climate,Jan 2023,"38,596.06","$3,771.14"
ReSci Network,GG16 Alpha Climate,Jan 2023,"37,888.81","$3,732.67"
Plants And Pillars,GG16 Alpha Climate,Jan 2023,"34,177.99","$3,559.40"
TaterDAO,GG16 Alpha Climate,Jan 2023,"32,480.07","$3,508.16"
Community Engagement - Bundle 6,GG16 Alpha Climate,Jan 2023,"31,481.75","$3,383.30"
MRV Foundation (previously MRV101),GG16 Alpha Climate,Jan 2023,"31,170.72","$3,233.12"
Web3beach,GG16 Alpha Climate,Jan 2023,"31,044.49","$3,161.95"
Earthist - Decentralize Hemp Seeds,GG16 Alpha Climate,Jan 2023,"30,743.66","$2,955.42"
CyberBox ReFi NFT Marketplace,GG16 Alpha Climate,Jan 2023,"28,260.70","$2,889.17"
The Angry Teenagers - democratising investment in reforestation projects,GG16 Alpha Climate,Jan 2023,"27,967.65","$2,851.79"
Bundle: Renewable Energy,GG16 Alpha Climate,Jan 2023,"27,792.68","$2,570.50"
Natives in Tech,GG16 Alpha Climate,Jan 2023,"27,607.95","$2,241.48"
dMeter,GG16 Alpha Climate,Jan 2023,"27,567.62","$1,896.07"
The Impact App + Eco Labs,GG16 Alpha Climate,Jan 2023,"26,447.32","$1,877.21"
Bundle: Creative Works,GG16 Alpha Climate,Jan 2023,"25,954.85","$1,743.01"
Silvi,GG16 Alpha Climate,Jan 2023,"25,407.48","$1,737.85"
Impact DAOs Research + Podcast + Book : Impact DAO Media Season 2,GG16 Alpha Climate,Jan 2023,"24,880.58","$1,690.06"
ReCommon,GG16 Alpha Climate,Jan 2023,"24,704.11","$1,305.85"
Scaling Grassroots Commons for Local Regeneration in E. Africa and S. E. Asia,GG16 Alpha Climate,Jan 2023,"23,656.03","$1,223.26"
Myseelia,GG16 Alpha Climate,Jan 2023,"23,641.12","$1,068.04"
The CM Guild,GG16 Alpha Climate,Jan 2023,"23,531.25",$954.06
Avano,GG16 Alpha Climate,Jan 2023,"22,972.70",$814.14
