Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
xBound,GG17 Beta Web3 Community & Education,Apr 2023,"248,448.21","$12,000.00"
BanklessDAO Projects,GG17 Beta Web3 Community & Education,Apr 2023,"248,448.21","$11,461.74"
Metagov,GG17 Beta Web3 Community & Education,Apr 2023,"227,602.91","$10,154.16"
Nowhere Publishing (NFT books with open access content),GG17 Beta Web3 Community & Education,Apr 2023,"225,861.29","$10,152.87"
ZachXBT,GG17 Beta Web3 Community & Education,Apr 2023,"223,603.39","$9,490.22"
Boring Security,GG17 Beta Web3 Community & Education,Apr 2023,"219,757.63","$9,433.31"
Blocktrend（區塊勢）,GG17 Beta Web3 Community & Education,Apr 2023,"212,309.93","$9,037.77"
CryptoCurious- Puerto Rico Blockchain Trade Association,GG17 Beta Web3 Community & Education,Apr 2023,"198,758.57","$5,342.56"
Help Protect the Internet Archive,GG17 Beta Web3 Community & Education,Apr 2023,"198,758.57","$5,120.75"
POAPathon,GG17 Beta Web3 Community & Education,Apr 2023,"198,758.57","$4,921.67"
Revolte,GG17 Beta Web3 Community & Education,Apr 2023,"198,758.57","$4,777.54"
Greenpill Podcast,GG17 Beta Web3 Community & Education,Apr 2023,"198,758.57","$4,397.72"
GreenPill Global ,GG17 Beta Web3 Community & Education,Apr 2023,"198,758.57","$3,711.85"
Ethereum Guatemala,GG17 Beta Web3 Community & Education,Apr 2023,"198,758.57","$3,653.67"
DAOVOZ,GG17 Beta Web3 Community & Education,Apr 2023,"198,758.57","$3,539.44"
404 DAO,GG17 Beta Web3 Community & Education,Apr 2023,"195,280.29","$3,274.48"
Ethereum Uruguay,GG17 Beta Web3 Community & Education,Apr 2023,"176,398.23","$3,267.96"
Kernel,GG17 Beta Web3 Community & Education,Apr 2023,"170,364.91","$3,195.01"
Blu3 Global,GG17 Beta Web3 Community & Education,Apr 2023,"149,455.01","$2,984.47"
Web3Afrika,GG17 Beta Web3 Community & Education,Apr 2023,"149,068.93","$2,620.24"
Infinite Garden Library,GG17 Beta Web3 Community & Education,Apr 2023,"149,068.93","$2,402.72"
Mechanism Institute: Democratizing Cryptoeconomics,GG17 Beta Web3 Community & Education,Apr 2023,"149,068.93","$2,357.56"
Trusted Seed,GG17 Beta Web3 Community & Education,Apr 2023,"149,068.93","$2,335.30"
Defy Foundation,GG17 Beta Web3 Community & Education,Apr 2023,"138,983.92","$2,189.91"
ReFi DAO — a global network of tech-enabled regenerative villages in startup cities ,GG17 Beta Web3 Community & Education,Apr 2023,"136,646.52","$2,169.96"
VoiceDeck: A Marketplace for Journalism Impact Certificates,GG17 Beta Web3 Community & Education,Apr 2023,"133,449.98","$1,885.24"
LexDAO,GG17 Beta Web3 Community & Education,Apr 2023,"129,193.07","$1,841.88"
Unitap,GG17 Beta Web3 Community & Education,Apr 2023,"127,914.06","$1,818.99"
Week in Ethereum News,GG17 Beta Web3 Community & Education,Apr 2023,"124,224.11","$1,732.55"
Ethereum Lima,GG17 Beta Web3 Community & Education,Apr 2023,"124,224.11","$1,700.13"
Regens Unite: Building bridges between web3 and local regens,GG17 Beta Web3 Community & Education,Apr 2023,"124,224.11","$1,665.94"
HER LATAM,GG17 Beta Web3 Community & Education,Apr 2023,"123,541.37","$1,622.49"
Upgrading Ethereum Book,GG17 Beta Web3 Community & Education,Apr 2023,"121,739.62","$1,611.85"
H.E.R. DAO ,GG17 Beta Web3 Community & Education,Apr 2023,"115,058.35","$1,594.31"
Crypto Altruism – Accessible Web3 Education for Nonprofits and Changemakers,GG17 Beta Web3 Community & Education,Apr 2023,"114,285.18","$1,557.89"
登链社区(Upchain),GG17 Beta Web3 Community & Education,Apr 2023,"109,317.21","$1,478.59"
