Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
Lenster,GG17 Beta Web3 OSS,Apr 2023,"22,678.04","$14,000.00"
JediSwap,GG17 Beta Web3 OSS,Apr 2023,"21,627.00","$14,000.00"
DefiLlama,GG17 Beta Web3 OSS,Apr 2023,"21,521.52","$14,000.00"
Taho - Open Source and Community Owned Wallet,GG17 Beta Web3 OSS,Apr 2023,"21,067.76","$14,000.00"
Via | Cross-chain router,GG17 Beta Web3 OSS,Apr 2023,"20,380.82","$14,000.00"
OmniBTC,GG17 Beta Web3 OSS,Apr 2023,"20,278.03","$14,000.00"
Revoke.cash - Helping you stay safe in web3,GG17 Beta Web3 OSS,Apr 2023,"19,785.18","$14,000.00"
Lenstube,GG17 Beta Web3 OSS,Apr 2023,"19,419.09","$14,000.00"
Umbra,GG17 Beta Web3 OSS,Apr 2023,"19,213.55","$14,000.00"
BrightID 🔆 Universal Proof of Uniqueness,GG17 Beta Web3 OSS,Apr 2023,"19,085.86","$14,000.00"
Loanshark,GG17 Beta Web3 OSS,Apr 2023,"19,056.60","$14,000.00"
IDriss - A more usable web3 for everyone,GG17 Beta Web3 OSS,Apr 2023,"18,994.87","$14,000.00"
Proof of Humanity Origin,GG17 Beta Web3 OSS,Apr 2023,"18,798.99","$14,000.00"
POAPin,GG17 Beta Web3 OSS,Apr 2023,"18,549.22","$14,000.00"
ShapeShift DAO,GG17 Beta Web3 OSS,Apr 2023,"18,271.88","$14,000.00"
Zk- Block | Tools for Zk & Web3 Dapps,GG17 Beta Web3 OSS,Apr 2023,"18,034.69","$14,000.00"
Rouge Ticket,GG17 Beta Web3 OSS,Apr 2023,"17,983.16","$14,000.00"
DefiLab.xyz,GG17 Beta Web3 OSS,Apr 2023,"15,774.28","$14,000.00"
Punk Domains - Modular Web3 Names Protocol,GG17 Beta Web3 OSS,Apr 2023,"15,736.37","$14,000.00"
Giveth,GG17 Beta Web3 OSS,Apr 2023,"15,732.30","$13,012.20"
The Tor Project,GG17 Beta Web3 OSS,Apr 2023,"15,329.31","$7,969.64"
xLog - Write. Own. Earn.,GG17 Beta Web3 OSS,Apr 2023,"15,206.14","$6,787.82"
Chaineye,GG17 Beta Web3 OSS,Apr 2023,"15,038.62","$5,610.69"
dm3 protocol - the interoperability initiative ,GG17 Beta Web3 OSS,Apr 2023,"13,930.17","$5,171.87"
Starksheet,GG17 Beta Web3 OSS,Apr 2023,"13,769.49","$4,959.89"
ECHO,GG17 Beta Web3 OSS,Apr 2023,"13,684.13","$3,849.71"
beaconcha.in,GG17 Beta Web3 OSS,Apr 2023,"13,411.82","$3,644.98"
TrueBlocks and the Unchained Index,GG17 Beta Web3 OSS,Apr 2023,"13,169.25","$3,214.37"
cadCAD: Computer Aided Design for Complex Systems,GG17 Beta Web3 OSS,Apr 2023,"12,928.58","$2,579.57"
Commons Stack,GG17 Beta Web3 OSS,Apr 2023,"12,115.61","$2,060.48"
DAOstar,GG17 Beta Web3 OSS,Apr 2023,"11,449.32","$1,639.07"
Minerva Wallet - You Own It,GG17 Beta Web3 OSS,Apr 2023,"11,328.63","$1,479.57"
Buckets,GG17 Beta Web3 OSS,Apr 2023,"10,933.37","$1,409.36"
Uniswap V3 Calculator & Simulator,GG17 Beta Web3 OSS,Apr 2023,"10,875.07","$1,340.96"
Seedle,GG17 Beta Web3 OSS,Apr 2023,"10,735.09","$1,141.81"
Impersonator,GG17 Beta Web3 OSS,Apr 2023,"10,535.97","$1,133.40"
White Hat DAO,GG17 Beta Web3 OSS,Apr 2023,"10,499.66","$1,069.38"
MetaDock,GG17 Beta Web3 OSS,Apr 2023,"10,197.32","$1,064.01"
Uniswap.fish,GG17 Beta Web3 OSS,Apr 2023,"10,129.83","$1,008.46"
neume,GG17 Beta Web3 OSS,Apr 2023,"10,072.54",$887.13
