Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
zkBob,GG17 Beta ZK Technology,Apr 2023,"22,360.34","$15,000.00"
Proof of Innocence,GG17 Beta ZK Technology,Apr 2023,"22,360.34","$15,000.00"
Halo2 Backend for Noir,GG17 Beta ZK Technology,Apr 2023,"22,116.86","$15,000.00"
ZeroPool,GG17 Beta ZK Technology,Apr 2023,"22,116.86","$15,000.00"
4EVERLAND,GG17 Beta ZK Technology,Apr 2023,"22,116.86","$15,000.00"
Sprintcheckout,GG17 Beta ZK Technology,Apr 2023,"22,116.86","$15,000.00"
zkREPL,GG17 Beta ZK Technology,Apr 2023,"22,116.86","$15,000.00"
EZKL,GG17 Beta ZK Technology,Apr 2023,"22,116.86","$14,468.50"
"PLUME: Pseudonymously Linked Unique Message Entities, aka Verifiably Deterministic Signatures on Ethereum",GG17 Beta ZK Technology,Apr 2023,"21,905.68","$13,605.75"
Switch Electric: Maxwell,GG17 Beta ZK Technology,Apr 2023,"21,371.52","$8,004.03"
Zero Knowledge Podcast,GG17 Beta ZK Technology,Apr 2023,"21,366.55","$5,546.92"
Trustless zkMafia,GG17 Beta ZK Technology,Apr 2023,"20,648.03","$3,374.80"
