Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
L2BEAT,GG19 Cluster QF Ethereum Infrastructure,Nov 2023,"650,000.00","$20,000.00"
EthStaker,GG19 Cluster QF Ethereum Infrastructure,Nov 2023,"750,000.00","$20,000.00"
Dappnode,GG19 Cluster QF Ethereum Infrastructure,Nov 2023,"350,000.00","$19,408.37"
ZK Email,GG19 Cluster QF Ethereum Infrastructure,Nov 2023,"750,000.00","$15,477.93"
ethers.js,GG19 Cluster QF Ethereum Infrastructure,Nov 2023,"33,000.00","$13,536.80"
rotki,GG19 Cluster QF Ethereum Infrastructure,Nov 2023,"240,000.00","$10,354.30"
beaconcha.in,GG19 Cluster QF Ethereum Infrastructure,Nov 2023,"300,000.00","$8,961.76"
Ethereum Attestation Service,GG19 Cluster QF Ethereum Infrastructure,Nov 2023,"50,000.00","$7,353.64"
wagmi,GG19 Cluster QF Ethereum Infrastructure,Nov 2023,"31,764.00","$7,147.67"
Protocol Guild,GG19 Cluster QF Ethereum Infrastructure,Nov 2023,"300,000","$7,121.72"
eth.limo,GG19 Cluster QF Ethereum Infrastructure,Nov 2023,"504,000","$6,637.68"
NiceNode,GG19 Cluster QF Ethereum Infrastructure,Nov 2023,"540,000","$6,440.43"
Ethereum on ARM,GG19 Cluster QF Ethereum Infrastructure,Nov 2023,"300,000","$6,599.89"
"Blockscout Block Explorer - Decentralized, Open-Source, Transparent Block Explorer for All Chains",GG19 Cluster QF Ethereum Infrastructure,Nov 2023,"50,000","$6,583.47"
Otterscan,GG19 Cluster QF Ethereum Infrastructure,Nov 2023,"420,069","$5,542.70"
Stereum - Ethereum Node Installer & Manager,GG19 Cluster QF Ethereum Infrastructure,Nov 2023,"10,000","$4,612.53"
Somer Esat Ethereum Staking Guides (Ubuntu),GG19 Cluster QF Ethereum Infrastructure,Nov 2023,"15,000","$4,013.35"
eth-wizard: An Ethereum validator installation wizard,GG19 Cluster QF Ethereum Infrastructure,Nov 2023,"500,000","$4,028.88"
OpenZeppelin Contracts,GG19 Cluster QF Ethereum Infrastructure,Nov 2023,"200,000","$3,972.52"
Candide Labs,GG19 Cluster QF Ethereum Infrastructure,Nov 2023,"1,000,000","$3,827.75"
TrueBlocks and the Unchained Index,GG19 Cluster QF Ethereum Infrastructure,Nov 2023,"250,000","$3,379.50"
"PLUME: Pseudonymously Linked Unique Message Entities, aka Verifiably Deterministic Signatures on Ethereum",GG19 Cluster QF Ethereum Infrastructure,Nov 2023,"250,000","$3,190.79"
"Blockhead: portfolio tracker, block explorer and web3 browser",GG19 Cluster QF Ethereum Infrastructure,Nov 2023,"100,000","$2,983.73"
Ethereum Staking Guides by CoinCashew,GG19 Cluster QF Ethereum Infrastructure,Nov 2023,"504,828","$2,861.29"
Ephemery Testnet,GG19 Cluster QF Ethereum Infrastructure,Nov 2023,"550,000","$2,606.42"
D4C : Fuzzing the Ethereum Network,GG19 Cluster QF Ethereum Infrastructure,Nov 2023,"400,000","$1,349.15"
eth-pkg,GG19 Cluster QF Ethereum Infrastructure,Nov 2023,"500,000","$1,215.46"
ethRPCtoREST,GG19 Cluster QF Ethereum Infrastructure,Nov 2023,"120,000",$792.29
