Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
Hey.xyz (formerly Lenster),GG20 dApps & Apps,May 2024,,"$15,000.00"
Revoke.cash,GG20 dApps & Apps,May 2024,,"$15,000.00"
JediSwap,GG20 dApps & Apps,May 2024,,"$15,000.00"
IDriss - A more usable web3 for everyone,GG20 dApps & Apps,May 2024,,"$15,000.00"
Event Horizon,GG20 dApps & Apps,May 2024,,"$12,091.86"
rotki,GG20 dApps & Apps,May 2024,,"$10,909.73"
Smold.app,GG20 dApps & Apps,May 2024,,"$10,623.26"
Giveth,GG20 dApps & Apps,May 2024,,"$8,839.72"
Tape (formerly Lenstube),GG20 dApps & Apps,May 2024,,"$8,417.10"
RubyScore,GG20 dApps & Apps,May 2024,,"$8,322.25"
ShapeShift DAO,GG20 dApps & Apps,May 2024,,"$8,248.94"
Masca,GG20 dApps & Apps,May 2024,,"$7,607.37"
GovScore,GG20 dApps & Apps,May 2024,,"$7,041.23"
POAPin,GG20 dApps & Apps,May 2024,,"$6,630.44"
Tally Zero,GG20 dApps & Apps,May 2024,,"$6,448.08"
Yoki Finance,GG20 dApps & Apps,May 2024,,"$5,974.33"
Unitap,GG20 dApps & Apps,May 2024,,"$5,885.82"
Carmine Finance,GG20 dApps & Apps,May 2024,,"$5,569.85"
Hypercerts Foundation,GG20 dApps & Apps,May 2024,,"$5,013.43"
Bankless Academy,GG20 dApps & Apps,May 2024,,"$4,803.93"
Karma GAP,GG20 dApps & Apps,May 2024,,"$4,402.41"
Glo Dollar,GG20 dApps & Apps,May 2024,,"$3,900.89"
Tonspay,GG20 dApps & Apps,May 2024,,"$3,525.27"
Streaming Quadratic Funding,GG20 dApps & Apps,May 2024,,"$3,498.15"
Citizen Wallet,GG20 dApps & Apps,May 2024,,"$3,304.24"
Kleo Network,GG20 dApps & Apps,May 2024,,"$3,264.21"
ZKP2P Fiat On Ramp,GG20 dApps & Apps,May 2024,,"$3,191.39"
growthepie.xyz 🥧📏 - Usage Data and Analytics for Ethereum Scaling Solutions,GG20 dApps & Apps,May 2024,,"$3,041.97"
MetaMail,GG20 dApps & Apps,May 2024,,"$3,006.35"
LexDAO,GG20 dApps & Apps,May 2024,,"$2,998.94"
Funding the Commons,GG20 dApps & Apps,May 2024,,"$2,798.25"
Mirror,GG20 dApps & Apps,May 2024,,"$2,646.41"
ENS Wayback Machine,GG20 dApps & Apps,May 2024,,"$2,522.38"
Vocdoni - Secure digital voting,GG20 dApps & Apps,May 2024,,"$2,444.49"
MetaGame,GG20 dApps & Apps,May 2024,,"$2,301.97"
Rankify,GG20 dApps & Apps,May 2024,,"$2,237.12"
GiveStation,GG20 dApps & Apps,May 2024,,"$2,194.97"
Treegens🌳,GG20 dApps & Apps,May 2024,,"$1,861.68"
Superchain Eco dApps,GG20 dApps & Apps,May 2024,,"$1,803.39"
ScoreFront,GG20 dApps & Apps,May 2024,,"$1,718.19"
Dig DAO,GG20 dApps & Apps,May 2024,,"$1,569.09"
Metagov,GG20 dApps & Apps,May 2024,,"$1,488.66"
DefiLab.xyz,GG20 dApps & Apps,May 2024,,"$1,470.51"
"Pairwise: Simplifying Choices, Amplifying Voices",GG20 dApps & Apps,May 2024,,"$1,466.41"
BerryLab,GG20 dApps & Apps,May 2024,,"$1,459.06"
JobStash,GG20 dApps & Apps,May 2024,,"$1,449.44"
Smoothly,GG20 dApps & Apps,May 2024,,"$1,418.34"
Kiwi News,GG20 dApps & Apps,May 2024,,"$1,377.81"
Social Layer,GG20 dApps & Apps,May 2024,,"$1,296.75"
Polysport,GG20 dApps & Apps,May 2024,,"$1,295.07"
Praise,GG20 dApps & Apps,May 2024,,"$1,216.44"
Greenpill Dev Guild,GG20 dApps & Apps,May 2024,,"$1,201.50"
Bloom Network,GG20 dApps & Apps,May 2024,,"$1,199.80"
rolod0x,GG20 dApps & Apps,May 2024,,"$1,167.86"
Toaster Finance,GG20 dApps & Apps,May 2024,,"$1,155.72"
Grant Ships,GG20 dApps & Apps,May 2024,,"$1,112.85"
Using ZK for game optimization in Dark Forest,GG20 dApps & Apps,May 2024,,"$1,082.63"
Ethereum Localization Service,GG20 dApps & Apps,May 2024,,"$1,059.81"
Starksheet,GG20 dApps & Apps,May 2024,,"$1,035.73"
Protocol Explorer,GG20 dApps & Apps,May 2024,,$985.41
Qortal,GG20 dApps & Apps,May 2024,,$968.13
WUW Whatever Fi,GG20 dApps & Apps,May 2024,,$961.28
BCard,GG20 dApps & Apps,May 2024,,$942.95
College DAO,GG20 dApps & Apps,May 2024,,$941.39
OurNetwork,GG20 dApps & Apps,May 2024,,$936.70
1Hive Gardens,GG20 dApps & Apps,May 2024,,$934.68
RWA x Public Goods | BASIN,GG20 dApps & Apps,May 2024,,$910.83
Amet Finance,GG20 dApps & Apps,May 2024,,$888.34
GrantsScope - Grantee Discovery Using LLMs,GG20 dApps & Apps,May 2024,,$867.56
"C–ATTS, Composite Attestations",GG20 dApps & Apps,May 2024,,$838.13
