Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
ethers.js,GG20 Developer Tooling & Libraries,May 2024,,"$29,637.50"
OpenZeppelin Contracts,GG20 Developer Tooling & Libraries,May 2024,,"$23,281.82"
"Blockscout Block Explorer - Decentralized, Open-Source, Transparent Block Explorer for All Chains",GG20 Developer Tooling & Libraries,May 2024,,"$17,741.54"
Swiss-Knife.xyz,GG20 Developer Tooling & Libraries,May 2024,,"$16,518.84"
Wagmi,GG20 Developer Tooling & Libraries,May 2024,,"$16,243.91"
Solady,GG20 Developer Tooling & Libraries,May 2024,,"$15,978.18"
Otterscan,GG20 Developer Tooling & Libraries,May 2024,,"$15,915.01"
Viem,GG20 Developer Tooling & Libraries,May 2024,,"$13,306.72"
ZK Email,GG20 Developer Tooling & Libraries,May 2024,,"$12,276.94"
Scaffold-ETH2,GG20 Developer Tooling & Libraries,May 2024,,"$11,238.03"
Open Source Observer,GG20 Developer Tooling & Libraries,May 2024,,"$8,806.21"
Ape Framework,GG20 Developer Tooling & Libraries,May 2024,,"$8,637.13"
Web3.js,GG20 Developer Tooling & Libraries,May 2024,,"$8,459.69"
Gaslite,GG20 Developer Tooling & Libraries,May 2024,,"$8,287.13"
Astral,GG20 Developer Tooling & Libraries,May 2024,,"$8,220.15"
Zk- Block | Tools for Zk & Web3 Dapps,GG20 Developer Tooling & Libraries,May 2024,,"$8,097.76"
web3.py,GG20 Developer Tooling & Libraries,May 2024,,"$6,410.32"
ethui,GG20 Developer Tooling & Libraries,May 2024,,"$5,792.44"
Unlock Protocol,GG20 Developer Tooling & Libraries,May 2024,,"$4,811.65"
Vue Dapp,GG20 Developer Tooling & Libraries,May 2024,,"$4,741.89"
Blocknative,GG20 Developer Tooling & Libraries,May 2024,,"$3,989.54"
Nexth - A Next.js + Ethereum starter kit,GG20 Developer Tooling & Libraries,May 2024,,"$3,806.82"
RoutineHub Web3 Services,GG20 Developer Tooling & Libraries,May 2024,,"$3,742.12"
Pentacle,GG20 Developer Tooling & Libraries,May 2024,,"$3,335.52"
OrbitDB,GG20 Developer Tooling & Libraries,May 2024,,"$3,249.40"
W3GPT,GG20 Developer Tooling & Libraries,May 2024,,"$3,236.12"
Synpress,GG20 Developer Tooling & Libraries,May 2024,,"$3,127.52"
Loop Decoder,GG20 Developer Tooling & Libraries,May 2024,,"$2,781.47"
Bonadocs,GG20 Developer Tooling & Libraries,May 2024,,"$2,762.68"
Iggy - Web3 Social Framework,GG20 Developer Tooling & Libraries,May 2024,,"$2,662.73"
EVMcrispr,GG20 Developer Tooling & Libraries,May 2024,,"$2,548.71"
Morpheus,GG20 Developer Tooling & Libraries,May 2024,,"$2,335.93"
PLUME: Enabling Private Voting on Ethereum via ERC 7524,GG20 Developer Tooling & Libraries,May 2024,,"$2,113.79"
Hyperledger Web3j,GG20 Developer Tooling & Libraries,May 2024,,"$1,794.76"
variance,GG20 Developer Tooling & Libraries,May 2024,,"$1,755.97"
The cadCAD Foundation,GG20 Developer Tooling & Libraries,May 2024,,"$1,654.91"
⚡ TurboETH,GG20 Developer Tooling & Libraries,May 2024,,"$1,597.98"
Ronan/wighawag and Etherplay,GG20 Developer Tooling & Libraries,May 2024,,"$1,520.40"
framelib,GG20 Developer Tooling & Libraries,May 2024,,"$1,481.75"
NacDB Distributed Database,GG20 Developer Tooling & Libraries,May 2024,,"$1,208.57"
Solide Smart Contract Knowledge Hub,GG20 Developer Tooling & Libraries,May 2024,,"$1,105.50"
DappReader,GG20 Developer Tooling & Libraries,May 2024,,$836.68
lazy-etherscan,GG20 Developer Tooling & Libraries,May 2024,,$800.32
simple-optimism-node Maintenance,GG20 Developer Tooling & Libraries,May 2024,,$790.87
Web3stash Library,GG20 Developer Tooling & Libraries,May 2024,,$730.64
Kredeum NFTs Factory,GG20 Developer Tooling & Libraries,May 2024,,$626.45
