Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
NFC wallet,GG20 Hackathon Alumni,May 2024,,"$10,000.00"
WalletX | A Gasless Smart Wallet,GG20 Hackathon Alumni,May 2024,,"$7,601.57"
Fluidpay,GG20 Hackathon Alumni,May 2024,,"$7,244.97"
RejuvenateAI,GG20 Hackathon Alumni,May 2024,,"$6,126.70"
Mosaic: Earn rewards for using your favorite web3 apps and protocols,GG20 Hackathon Alumni,May 2024,,"$3,803.70"
Breadchain Cooperative,GG20 Hackathon Alumni,May 2024,,"$3,616.15"
Gnomish,GG20 Hackathon Alumni,May 2024,,"$2,806.33"
UPstore,GG20 Hackathon Alumni,May 2024,,"$2,761.19"
Bulwark,GG20 Hackathon Alumni,May 2024,,"$2,739.91"
"Blockhead: portfolio tracker, block explorer and web3 browser",GG20 Hackathon Alumni,May 2024,,"$2,715.12"
Network of Trust,GG20 Hackathon Alumni,May 2024,,"$2,592.32"
Goalz: Decentralized Savings Goals App 🏦💡,GG20 Hackathon Alumni,May 2024,,"$2,542.35"
DAO Driven,GG20 Hackathon Alumni,May 2024,,"$2,505.14"
DeStealth,GG20 Hackathon Alumni,May 2024,,"$2,473.39"
LensView,GG20 Hackathon Alumni,May 2024,,"$2,404.14"
DAO Coalition,GG20 Hackathon Alumni,May 2024,,"$2,345.29"
hashlists,GG20 Hackathon Alumni,May 2024,,"$2,278.68"
Astral,GG20 Hackathon Alumni,May 2024,,"$2,074.81"
Monas,GG20 Hackathon Alumni,May 2024,,"$2,044.24"
Hyperion Team: Gitcoin Donation Frame,GG20 Hackathon Alumni,May 2024,,"$1,908.57"
DynOS 95,GG20 Hackathon Alumni,May 2024,,"$1,806.87"
AndiLending,GG20 Hackathon Alumni,May 2024,,"$1,778.28"
Margari,GG20 Hackathon Alumni,May 2024,,"$1,774.51"
AI Swarm,GG20 Hackathon Alumni,May 2024,,"$1,610.78"
CamelotV2 Adapter,GG20 Hackathon Alumni,May 2024,,"$1,542.43"
Stogram,GG20 Hackathon Alumni,May 2024,,"$1,529.78"
Yap Bay,GG20 Hackathon Alumni,May 2024,,"$1,385.16"
FundIt,GG20 Hackathon Alumni,May 2024,,"$1,379.90"
Patient Analytics ZKP,GG20 Hackathon Alumni,May 2024,,"$1,199.60"
Dspyt-CodeVerse,GG20 Hackathon Alumni,May 2024,,"$1,192.09"
Universal Bluecheck,GG20 Hackathon Alumni,May 2024,,"$1,084.20"
Atletz,GG20 Hackathon Alumni,May 2024,,$945.01
Chatafisha,GG20 Hackathon Alumni,May 2024,,$920.17
web3.js Faucet Plugin for Testnets,GG20 Hackathon Alumni,May 2024,,$865.66
Agents With Benefits,GG20 Hackathon Alumni,May 2024,,$830.21
$CODEX: Photosynthetic Finance,GG20 Hackathon Alumni,May 2024,,$817.69
Safe2Link,GG20 Hackathon Alumni,May 2024,,$810.22
Bitsave Protocol,GG20 Hackathon Alumni,May 2024,,$800.08
Ecco,GG20 Hackathon Alumni,May 2024,,$605.24
AdLand,GG20 Hackathon Alumni,May 2024,,$540.17
Privacy and Agreement Protocol -Privaseal,GG20 Hackathon Alumni,May 2024,,$531.23
HonorCode,GG20 Hackathon Alumni,May 2024,,$522.80
dTrials,GG20 Hackathon Alumni,May 2024,,$495.98
chatWallet,GG20 Hackathon Alumni,May 2024,,$422.26
Perpetual Organization Architect,GG20 Hackathon Alumni,May 2024,,$366.45
Coordination-Play,GG20 Hackathon Alumni,May 2024,,$359.55
Sadaiv,GG20 Hackathon Alumni,May 2024,,$328.83
EVM Trace,GG20 Hackathon Alumni,May 2024,,$269.87
A Bank for DAOs,GG20 Hackathon Alumni,May 2024,,$222.81
Euterpe,GG20 Hackathon Alumni,May 2024,,$196.73
FlashTrader,GG20 Hackathon Alumni,May 2024,,$180.41
Stallion Stake,GG20 Hackathon Alumni,May 2024,,$100.46
