Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
DefiLlama,GG20 Web3 Infrastructure,May 2024,,"$30,000.00"
L2BEAT,GG20 Web3 Infrastructure,May 2024,,"$25,206.51"
Umbra,GG20 Web3 Infrastructure,May 2024,,"$17,320.06"
Dappnode,GG20 Web3 Infrastructure,May 2024,,"$16,168.75"
Ethereum Attestation Service (EAS),GG20 Web3 Infrastructure,May 2024,,"$16,022.07"
Ethscriptions,GG20 Web3 Infrastructure,May 2024,,"$15,445.77"
EthStaker,GG20 Web3 Infrastructure,May 2024,,"$15,151.21"
Pheasant Network,GG20 Web3 Infrastructure,May 2024,,"$13,108.00"
MiniBridge,GG20 Web3 Infrastructure,May 2024,,"$11,619.29"
The Tor Project,GG20 Web3 Infrastructure,May 2024,,"$9,908.47"
beaconcha.in,GG20 Web3 Infrastructure,May 2024,,"$9,502.63"
BrightID 🔆 Universal Proof of Uniqueness,GG20 Web3 Infrastructure,May 2024,,"$8,719.52"
IDENA,GG20 Web3 Infrastructure,May 2024,,"$7,377.41"
ZKT Network,GG20 Web3 Infrastructure,May 2024,,"$7,343.58"
eth.limo,GG20 Web3 Infrastructure,May 2024,,"$7,043.45"
Gitcoin Grants Data Portal,GG20 Web3 Infrastructure,May 2024,,"$5,560.50"
Lighthouse by Sigma Prime,GG20 Web3 Infrastructure,May 2024,,"$5,217.78"
Ethereum Tag Service,GG20 Web3 Infrastructure,May 2024,,"$4,946.71"
Ethereum on ARM,GG20 Web3 Infrastructure,May 2024,,"$4,806.41"
NFT.Storage,GG20 Web3 Infrastructure,May 2024,,"$4,599.55"
Open to the Public,GG20 Web3 Infrastructure,May 2024,,"$3,994.43"
Proof of passport,GG20 Web3 Infrastructure,May 2024,,"$3,738.53"
Lodestar,GG20 Web3 Infrastructure,May 2024,,"$3,047.46"
ETHPaymaster,GG20 Web3 Infrastructure,May 2024,,"$2,898.25"
Shielded Voting by Shutter Network,GG20 Web3 Infrastructure,May 2024,,"$2,550.45"
LunarDAO,GG20 Web3 Infrastructure,May 2024,,"$2,295.91"
NiceNode,GG20 Web3 Infrastructure,May 2024,,"$2,285.91"
PORTERS,GG20 Web3 Infrastructure,May 2024,,"$2,278.69"
Inverter Network,GG20 Web3 Infrastructure,May 2024,,"$1,983.90"
Candide,GG20 Web3 Infrastructure,May 2024,,"$1,832.92"
Commons Stack,GG20 Web3 Infrastructure,May 2024,,"$1,679.34"
Zerokit,GG20 Web3 Infrastructure,May 2024,,"$1,584.64"
eth-wizard: An Ethereum validator installation wizard,GG20 Web3 Infrastructure,May 2024,,"$1,555.03"
Ephemery Testnet,GG20 Web3 Infrastructure,May 2024,,"$1,538.07"
Rantom,GG20 Web3 Infrastructure,May 2024,,"$1,478.40"
Circuitscan,GG20 Web3 Infrastructure,May 2024,,"$1,447.62"
ArbitrumHub - The Gateway to Seamless Navigation and Exploration in the ArbitrumDAO Ecosystem,GG20 Web3 Infrastructure,May 2024,,"$1,430.78"
Wizard Bridge EVM,GG20 Web3 Infrastructure,May 2024,,"$1,428.53"
Ethereum Staking Guides by CoinCashew,GG20 Web3 Infrastructure,May 2024,,"$1,415.82"
Flexible Voting,GG20 Web3 Infrastructure,May 2024,,"$1,395.48"
DAOstar,GG20 Web3 Infrastructure,May 2024,,"$1,213.21"
libp2p General,GG20 Web3 Infrastructure,May 2024,,"$1,147.63"
FileMarket,GG20 Web3 Infrastructure,May 2024,,"$1,117.59"
Epoch Protocol,GG20 Web3 Infrastructure,May 2024,,"$1,116.54"
Seed Protocol by JournoDAO,GG20 Web3 Infrastructure,May 2024,,$962.90
Abundance Protocol,GG20 Web3 Infrastructure,May 2024,,$907.42
IPFS Implementations,GG20 Web3 Infrastructure,May 2024,,$907.18
Stereum - Ethereum Node Installer & Manager,GG20 Web3 Infrastructure,May 2024,,$893.73
Bonding Curve Research Group (BCRG),GG20 Web3 Infrastructure,May 2024,,$888.97
nim-libp2p,GG20 Web3 Infrastructure,May 2024,,$881.55
MigaLabs,GG20 Web3 Infrastructure,May 2024,,$831.04
Silius  - ERC-4337 bundler,GG20 Web3 Infrastructure,May 2024,,$821.52
Node Crawler - Ethernets.io,GG20 Web3 Infrastructure,May 2024,,$817.95
AuditDB,GG20 Web3 Infrastructure,May 2024,,$770.97
Ultimate Digits,GG20 Web3 Infrastructure,May 2024,,$734.77
Opti.Domains | Scale ENS to OP,GG20 Web3 Infrastructure,May 2024,,$730.63
Proof of Philanthropy: A Verifiable Giving Pledge for the Modern Age,GG20 Web3 Infrastructure,May 2024,,$642.92
RPCh,GG20 Web3 Infrastructure,May 2024,,$628.99
quic-go,GG20 Web3 Infrastructure,May 2024,,$613.94
OnChainTrust,GG20 Web3 Infrastructure,May 2024,,$573.52
Rings Network,GG20 Web3 Infrastructure,May 2024,,$571.19
CrossSync Protocol,GG20 Web3 Infrastructure,May 2024,,$567.02
"Blockhead: portfolio tracker, block explorer and web3 browser",GG20 Web3 Infrastructure,May 2024,,$565.23
eth-pkg,GG20 Web3 Infrastructure,May 2024,,$562.92
True Network,GG20 Web3 Infrastructure,May 2024,,$532.48
Supermajority.info,GG20 Web3 Infrastructure,May 2024,,$519.11
IERC Protocol,GG20 Web3 Infrastructure,May 2024,,$510.64
EIP-7265 Alliance - securing the future of ethereum,GG20 Web3 Infrastructure,May 2024,,$487.74
Louper - The Ethereum Diamond Inspector,GG20 Web3 Infrastructure,May 2024,,$364.44
Lakat 📜,GG20 Web3 Infrastructure,May 2024,,$299.29
Dessage,GG20 Web3 Infrastructure,May 2024,,$270.58
"Interplanetary Shipyard: go-libp2p, js-libp2p, rust-libp2p",GG20 Web3 Infrastructure,May 2024,,$207.67
IPC Explorer,GG20 Web3 Infrastructure,May 2024,,$202.53
ICDevs.org,GG20 Web3 Infrastructure,May 2024,,$163.29
ProbeLab: Measurement Tooling for Web3 P2P Networks,GG20 Web3 Infrastructure,May 2024,,$45.10
