Recipient / Grantee,Wave/Round,Term,Amount (ETH),Amount (USD)
Protocol Guild,Epoch 4,17 April -> 30 July 2024,48.23,"$155,868.41"
Tor Project,Epoch 4,17 April -> 30 July 2024,44.95,"$145,258.28"
Revoke.cash,Epoch 4,17 April -> 30 July 2024,24.54,"$79,302.89"
Web3.py,Epoch 4,17 April -> 30 July 2024,20.53,"$66,352.91"
Open Source Observer,Epoch 4,17 April -> 30 July 2024,18.27,"$59,032.79"
L2BEAT,Epoch 4,17 April -> 30 July 2024,15.81,"$51,095.39"
Praise,Epoch 4,17 April -> 30 July 2024,15.79,"$51,014.59"
Pairwise,Epoch 4,17 April -> 30 July 2024,14.06,"$45,452.60"
Hypercerts,Epoch 4,17 April -> 30 July 2024,12.88,"$41,613.17"
Rotki,Epoch 4,17 April -> 30 July 2024,11.27,"$36,422.84"
EthStaker,Epoch 4,17 April -> 30 July 2024,10.26,"$33,155.45"
Web3.js,Epoch 4,17 April -> 30 July 2024,9.46,"$30,586.13"
Funding the Commons,Epoch 4,17 April -> 30 July 2024,9.34,"$30,191.85"
Ethereum Attestation Service,Epoch 4,17 April -> 30 July 2024,9.35,"$30,204.78"
Ethereum Cat Herders,Epoch 4,17 April -> 30 July 2024,8.14,"$26,303.95"
BuidlGuidl,Epoch 4,17 April -> 30 July 2024,5.02,"$16,230.30"
PizzaDAO,Epoch 4,17 April -> 30 July 2024,4.82,"$15,571.01"
Dappnode,Epoch 4,17 April -> 30 July 2024,3.95,"$12,756.07"
Shielded Voting,Epoch 4,17 April -> 30 July 2024,2.63,"$8,486.81"
DAO Drops,Epoch 4,17 April -> 30 July 2024,1.56,"$5,051.37"
Gardens,Epoch 4,17 April -> 30 July 2024,1.44,"$4,650.62"
Vyper,Epoch 4,17 April -> 30 July 2024,1.22,"$3,933.15"
growthepie,Epoch 4,17 April -> 30 July 2024,1.13,"$3,658.44"
NiceNode,Epoch 4,17 April -> 30 July 2024,0.66,"$2,129.78"
Abundance Protocol,Epoch 4,17 April -> 30 July 2024,0.60,"$1,952.03"
DeSci LATAM,Epoch 4,17 April -> 30 July 2024,0.47,"$1,518.96"
Trustful,Epoch 4,17 April -> 30 July 2024,0.43,"$1,399.39"
Blocksout,Epoch 4,17 April -> 30 July 2024,0.39,"$1,257.19"
EcosynthesisX,Epoch 4,17 April -> 30 July 2024,0.25,$807.96
TogetherCrew,Epoch 4,17 April -> 30 July 2024,0.14,$455.69
Protocol Guild,Epoch 5,16 July -> 28 October 2024,32.06,"$78,785.63"
Rotki,Epoch 5,16 July -> 28 October 2024,26.64,"$65,474.46"
Ethereum Attestation Service,Epoch 5,16 July -> 28 October 2024,22.80,"$56,039.16"
Revoke.cash,Epoch 5,16 July -> 28 October 2024,20.20,"$49,653.92"
Tor Project,Epoch 5,16 July -> 28 October 2024,19.37,"$47,594.33"
Greenpill Dev Guild,Epoch 5,16 July -> 28 October 2024,16.85,"$41,408.17"
Ethereum Cat Herders,Epoch 5,16 July -> 28 October 2024,13.66,"$33,580.24"
L2BEAT,Epoch 5,16 July -> 28 October 2024,15.05,"$36,984.22"
