Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
Decentralized rollup-as-a-service - WakeUp Labs,19 - intent 1,Mar 2024,65000,"$239,850"
Research and development on multi-section dispute game,19 - intent 1,Mar 2024,30000,"$110,700"
Research on Alternative OP Stack Zero Knowledge Fraud-Proof using Wasm,19 - intent 1,Mar 2024,50000,"$184,500"
Lightweight Open Source Explorer for the Superchain,19 - intent 1,Mar 2024,50000,"$184,500"
PermaDA: Utilizing Arweave as a low-cost permanent data availability solution,19 - intent 1,Mar 2024,30000,"$110,700"
Community builder: IRL Age of Empires Governance Platform,19 - intent 2,Mar 2024,50000,"$184,500"
EasyRetroPGF.xyz,19 - intent 2,Mar 2024,50000,"$184,500"
Enhancing Decision-Making with Quadratic Voting on Optimism,19 - intent 2,Mar 2024,34000,"$125,460"
ERC-7265 Security Tooling,19 - intent 2,Mar 2024,20000,"$73,800"
ERC-7412 Tooling + Education,19 - intent 2,Mar 2024,50000,"$184,500"
Karma GAP - RetroPGF Project Discovery and impact evaluation,19 - intent 2,Mar 2024,45000,"$166,050"
LOGX: Aggregated Orderbook Perp DEX,19 - intent 2,Mar 2024,50000,"$184,500"
Namespace,19 - intent 2,Mar 2024,15000,"$55,350"
On-chain DAO Committee,19 - intent 2,Mar 2024,1000,"$3,690"
xOPTokens: enabling xERC20 on OP Mainnet Messaging Layer,19 - intent 2,Mar 2024,15000,"$55,350"
Synthetix IPFS Node,19 - intent 2,Mar 2024,50000,"$184,500"
Lumio - AltVM on Superchain,19 - intent 2,Mar 2024,50000,"$184,500"
RADAR Launch Future Pools,19 - intent 2,Mar 2024,5000,"$18,450"
Gearbox Protocol,19 - intent 2,Mar 2024,50000,"$184,500"
Synthetix Growth Grant Request,19 - intent 2,Mar 2024,200000,"$738,000"
Thales Protocol,19 - intent 2,Mar 2024,200000,"$738,000"
Velodrome Finance - Growth Experiments,19 - intent 2,Mar 2024,200000,"$738,000"
ZK Toolkit for ZK Application Developers - WakeUp Labs,19 - intent 2,Mar 2024,70000,"$258,300"
Audio Galleries,19 - intent 3,Mar 2024,5000,"$18,450"
Burrito In NFT NYC,19 - intent 3,Mar 2024,5000,"$18,450"
Edge City,19 - intent 3,Mar 2024,5000,"$18,450"
Synthetix Mission Request for Perps DEX,19 - intent 3,Mar 2024,400000,"$1,476,000"
Velodrome Finance - Perp Dex,19 - intent 3,Mar 2024,100000,"$369,000"
BetCaster: The Governance Game,19 - intent 3,Mar 2024,50000,"$184,500"
DelegateKit - A complete Farcaster DAO toolkit,19 - intent 3,Mar 2024,80000,"$295,200"
Superchain Evolution: Engaging Users with Farcaster,19 - intent 3,Mar 2024,75000,"$276,750"
ether.fi - DeFi integrations to Optimism,19 - intent 3,Mar 2024,50000,"$184,500"
KelpDAO - Bringing restaking to Optimism,19 - intent 3,Mar 2024,50000,"$184,500"
Velodrome Finance - LST Support,19 - intent 3,Mar 2024,100000,"$369,000"
Scale ENS to OP | Blockful – Official ENS Service Provider,19 - intent 3,Mar 2024,40000,"$147,600"
Unruggable - Scale ENS to OP,19 - intent 3,Mar 2024,60000,"$221,400"
Superchain Accounts - WakeUp Labs,19 - intent 3,Mar 2024,35000,"$129,150"
Decentralized Vouching via Attestations,19 - intent 4,Mar 2024,18000,"$66,420"
Optimism at Boston University,19 - intent 4,Mar 2024,20000,"$73,800"
Optimism Gov and RPGF into Latin American University Courses,19 - intent 4,Mar 2024,16000,"$59,040"
Impact Visualization Platform,19 - intent 4,Mar 2024,30000,"$110,700"
WakeUp Labs - Impact Evaluation Framework and Dashboard,19 - intent 4,Mar 2024,30000,"$110,700"
grants supertracker,19 - intent 4,Mar 2024,5000,"$18,450"
