Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
Messari LP Strategy Configurator (RFP),Wave 3,,,"$9,000.00"
v3 SubGraph Developer Docs,Wave 3,,,"$55,000.00"
Compounder.fi,Wave 3,,,"$45,000.00"
Demeter Backtesting Tool,Wave 3,,,"$18,000.00"
LP Strategy Configurator (RFP),Wave 3,,,"$17,434.80"
Uniswap v3 SDK Rewrite,Wave 3,,,"$125,000.00"
Uniswap Incentive Program Analysis,Wave 3,,,"$125,000.00"
Uniswap v3 for DAOs’ Liquidity Needs – Comprehensive Research (RFP),Wave 3,,,"$120,000.00"
TWAP Oracle Research (RFP),Wave 3,,,"$57,750.00"
Checkpoint-free TWAP Oracles (RFP),Wave 3,,,"$200,000.00"
Uniswap Monthly Financials Part 2,Wave 3,,,"$27,000.00"
Institutional LP Research (RFP),Wave 3,,,"$34,146.00"
Research on Cross-Chain MEV Market Structure Dynamics (RFP),Wave 3,,,"$35,000.00"
CryptoStats – Cryptofees.info,Wave 3,,,"$65,000.00"
University Outreach and Education,Wave 3,,,"$52,000.00"
Content on Advanced LP Strategies for Uniswap v3 (RFP),Wave 3,,,"$60,000.00"
FWB Event Partnership and Production,Wave 3,,,"$60,000.00"
LP University: Beginner to Intermediate Course to Uniswap v3 (RFP),Wave 3,,,"$60,000.00"
Content on Advanced LP Strategies for Uniswap v3 (RFP),Wave 3,,,"$300,000.00"
Uniswap Cross-chain Bridge Assessment Process,Wave 3,,,"$84,660.00"
Uniswap DAOlitical Party Research,Wave 3,,,"$75,000.00"
