Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
Optimism Geth Workshop,Wave5,,,"$40,000.00"
DeFi Alliance,Wave5,,,"$75,000.00"
Bankless Q3,Wave5,,,"$2,500.00"
Ethereum Execution Layer Support,Wave5,,,"$5,000.00"
Gitcoin GR11 - UNI Side Round,Wave5,,,"$40,000.00"
Messari Hub - Analytics Bounties,Wave5,,,"$17,700.00"
Station UNI Onboarding Experience,Wave5,,,"$25,000.00"
Robotics For All - Open Source DeFi course & sandbox for High Schoolers ,Wave5,,,"$12,500.00"
UGP Headless Branding Follow-up,Wave5,,,"$8,000.00"
BEN MetaDelegates Follow-up,Wave5,,,"$15,000.00"
Polywrap Follow-up - v3 wrapper,Wave5,,,"$20,000.00"
Simple SDK Follow-up - v3 support,Wave5,,,"$40,000.00"
Valve Finance Follow-up,Wave5,,,"$4,000.00"
Brink.Trade Range Orders,Wave5,,,"$5,000.00"
UNI gov twitterbot (The Stable),Wave5,,,"$5,000.00"
Governance Champion - blacksage,Wave5,,,"$15,000.00"
Governance Champion - Jeremy Guzman,Wave5,,,"$40,000.00"
