Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
Bankless Sponsorship,Wave6,,,"$20,000.00"
Team Secret FY2022-H1,Wave6,,,"$6,500.00"
CalHacks,Wave6,,,"$125,000.00"
Unicode hackathon,Wave6,,,"$125,000.00"
Financial Cryptography Conference 2022,Wave6,,,"$26,000.00"
Gitcoin UNI Side Round 11 & 12,Wave6,,,"$22,500.00"
Untitled Art Fair | Art Basel - Crypto Onboarding,Wave6,,,"$7,500.00"
UNIversity DAO Board,Wave6,,,"$20,000.00"
Rabbithole - L2 quests,Wave6,,,"$5,000.00"
Liquifi open source vesting contracts,Wave6,,,"$10,000.00"
Omni Analytics - UNISwappR Follow-on,Wave6,,,"$66,150.00"
v3 golang SDK - Daoleno,Wave6,,,"$20,000.00"
Gelato Finance G-UNI,Wave6,,,"$40,000.00"
Yewbow - Guillaume Lambert,Wave6,,,"$10,000.00"
Other Internet - Governance Experiments,Wave6,,,"$85,000.00"
The Stable Subcommittee,Wave6,,,"$7,000.00"
